ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"""The Democratic narrative leading up to 2020 is now being formulated, and it's being formulated in real time.""",2019-08-20T14:27:44+0000,The Daily Wire,0,99,1000,4999,0.001452,Delaware,0.011617,Oregon,0.00726,Nebraska,0.009681,Nevada,0.00484,New Hampshire,0.015489,New Jersey,0.005324,New Mexico,0.033398,New York,0.036786,North Carolina,0.001452,North Dakota,0.050823,Ohio,0.018393,Oklahoma,0.054211,Pennsylvania,0.013553,Mississippi,0.001936,Rhode Island,0.02759,South Carolina,0.004356,South Dakota,0.026137,Tennessee,0.081801,Texas,0.008228,Utah,0.00242,Vermont,0.026137,Virginia,0.014521,Washington,0.008712,West Virginia,0.023717,Missouri,0.020813,Minnesota,0.00726,Montana,0.024201,Georgia,0.000484,Wyoming,0.020813,Alabama,0.00484,Alaska,0.019361,Arizona,0.020813,Arkansas,0.046467,California,0.015005,Colorado,0.008228,Connecticut,0.000484,"Washington, District of Columbia",0.049855,Florida,0.00242,Hawaii,0.052759,Michigan,0.003872,Idaho,0.050339,Illinois,0.033398,Indiana,0.019361,Iowa,0.010165,Kansas,0.022749,Kentucky,0.023233,Louisiana,0.006776,Maine,0.011617,Maryland,0.017909,Massachusetts,0.016941,Wisconsin
PollKing will deliver a new poll to your email daily. Vote Now!,2019-08-20T13:22:01+0000,"Neil Brauner, Owner of Poll King",0,99,0,999,0.03271,Alabama,0.001558,Rhode Island,0.024922,New Jersey,0.004673,New Mexico,0.054517,New York,0.049844,North Carolina,0.003115,North Dakota,0.042056,Ohio,0.024922,Oklahoma,0.023364,Oregon,0.056075,Pennsylvania,0.014019,South Carolina,0.015576,Nevada,0.001558,South Dakota,0.03271,Tennessee,0.05296,Texas,0.012461,Utah,0.001558,Vermont,0.021807,Virginia,0.020249,Washington,0.017134,West Virginia,0.012461,Wisconsin,0.010903,New Hampshire,0.014019,Nebraska,0.031153,Arizona,0.037383,Indiana,0.007788,Arkansas,0.046729,California,0.02648,Colorado,0.007788,Connecticut,0.001558,Delaware,0.073209,Florida,0.029595,Georgia,0.006231,Idaho,0.031153,Illinois,0.012461,Iowa,0.003115,Montana,0.010903,Kansas,0.010903,Kentucky,0.012461,Louisiana,0.007788,Maine,0.007788,Maryland,0.012461,Massachusetts,0.035826,Michigan,0.009346,Minnesota,0.004673,Mississippi,0.021807,Missouri,0.006231,Wyoming,,,,,,
"Proud Boys and Patriot Prayer are NOT racist groups, and their members are not white supremacists.

Watch this reporter make a fool of the left trying to keep up her narrative...

#CNNisFakeNews",2019-08-20T05:29:52+0000,Amber Krabach for WA,100,499,10000,49999,1,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indianapolis police are killing Black people. Let's unite to fight racist police terror!

Join us for a city-wide community forum this Thursday: Liberation Forum: Ending Global Gun Violence to learn how to get involved in the movement.",2019-08-20T01:18:22+0000,Party for Socialism and Liberation - Indianapolis,0,99,1000,4999,0.000321,Wisconsin,0.000321,Missouri,0.000321,Washington,0.000642,California,0.000642,Florida,0.000642,Illinois,0.995503,Indiana,0.000321,Kentucky,0.000321,Maryland,0.000321,Montana,0.000321,Ohio,0.000321,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""If you are not a person of color, and millions of people of color...are saying a thing or person is racist, it's really not your place to say it isnt."" -MSNBC 🤦‍♂️🤦‍♂️

Candace Owens explains why the Left continually invokes racism.",2019-08-19T23:56:09+0000,PragerU ,100,499,10000,49999,0.024826,Alabama,0.043708,Pennsylvania,0.008567,Nevada,0.003715,New Hampshire,0.01202,New Jersey,0.007387,New Mexico,0.035229,New York,0.035578,North Carolina,0.003846,North Dakota,0.056777,Ohio,0.019625,Oklahoma,0.015822,Oregon,0.002622,Rhode Island,0.006425,Montana,0.019712,South Carolina,0.007124,South Dakota,0.02876,Tennessee,0.048079,Texas,0.009834,Utah,0.00153,Vermont,0.026443,Virginia,0.020761,Washington,0.010796,West Virginia,0.021504,Wisconsin,0.011014,Nebraska,0.029809,Missouri,0.004677,Alaska,0.00896,Idaho,0.022903,Arizona,0.015779,Arkansas,0.063552,California,0.013069,Colorado,0.007999,Connecticut,0.001923,Delaware,0.000437,"Washington, District of Columbia",0.057607,Florida,0.033175,Georgia,0.005245,Hawaii,0.038245,Illinois,0.015473,Mississippi,0.035098,Indiana,0.015866,Iowa,0.014555,Kansas,0.020805,Kentucky,0.016565,Louisiana,0.005245,Maine,0.013156,Maryland,0.012282,Massachusetts,0.042572,Michigan,0.020062,Minnesota,0.003234,Wyoming
It’s time for misogynistic and racist Representative Steve King to resign. Sign the petition if you agree!,2019-08-19T21:19:07+0000,NARAL Pro-Choice America,0,99,1000,4999,0.009158,Alabama,0.022589,Tennessee,0.006105,New Mexico,0.06105,New York,0.026252,North Carolina,0.050672,Ohio,0.0116,Oklahoma,0.020757,Oregon,0.037241,Pennsylvania,0.004274,Rhode Island,0.009158,South Carolina,0.079365,Texas,0.003053,New Hampshire,0.001832,Utah,0.004274,Vermont,0.020147,Virginia,0.023199,Washington,0.006105,West Virginia,0.017094,Wisconsin,0.003053,Wyoming,0.003053,Alaska,0.002442,"Washington, District of Columbia",0.001832,Hawaii,0.015873,New Jersey,0.009768,Nevada,0.034188,Arizona,0.007937,Iowa,0.006716,Arkansas,0.092186,California,0.016484,Colorado,0.01221,Connecticut,0.007326,Delaware,0.075092,Florida,0.031136,Georgia,0.003053,Idaho,0.047619,Illinois,0.031746,Indiana,0.01221,Kansas,0.003663,Nebraska,0.02442,Kentucky,0.007326,Louisiana,0.006105,Maine,0.015873,Maryland,0.017094,Massachusetts,0.041514,Michigan,0.022589,Minnesota,0.004884,Mississippi,0.02381,Missouri,0.003053,Montana,0.001832,South Dakota,,
It’s time for misogynistic and racist Representative Steve King to resign. Sign the petition if you agree!,2019-08-19T21:19:05+0000,NARAL Pro-Choice America,0,99,1000,4999,0.008212,Alabama,0.041807,Pennsylvania,0.006719,Nevada,0.005599,New Hampshire,0.027622,New Jersey,0.013065,New Mexico,0.079881,New York,0.027622,North Carolina,0.00112,North Dakota,0.044046,Ohio,0.011571,Oklahoma,0.02277,Oregon,0.004106,Rhode Island,0.004479,Montana,0.012318,South Carolina,0.002613,South Dakota,0.011571,Tennessee,0.056364,Texas,0.004479,Utah,0.004853,Vermont,0.021277,Virginia,0.034341,Washington,0.005226,West Virginia,0.015304,Wisconsin,0.004853,Nebraska,0.02165,Missouri,0.002613,Alaska,0.003359,Idaho,0.025383,Arizona,0.004479,Arkansas,0.129899,California,0.023143,Colorado,0.014558,Connecticut,0.004106,Delaware,0.002986,"Washington, District of Columbia",0.077641,Florida,0.018664,Georgia,0.003359,Hawaii,0.036208,Illinois,0.003733,Mississippi,0.020157,Indiana,0.008959,Iowa,0.008959,Kansas,0.015304,Kentucky,0.007465,Louisiana,0.006346,Maine,0.018664,Maryland,0.026502,Massachusetts,0.030982,Michigan,0.012318,Minnesota,0.000747,Wyoming
It’s time for misogynistic and racist Representative Steve King to resign. Sign the petition if you agree!,2019-08-19T21:19:02+0000,NARAL Pro-Choice America,100,499,5000,9999,0.008763,Alabama,0.039235,Pennsylvania,0.012746,Nevada,0.006373,New Hampshire,0.021908,New Jersey,0.010157,New Mexico,0.057359,New York,0.026489,North Carolina,0.001195,North Dakota,0.054372,Ohio,0.01195,Oklahoma,0.022705,Oregon,0.004581,Rhode Island,0.004382,Montana,0.01195,South Carolina,0.001593,South Dakota,0.018323,Tennessee,0.056961,Texas,0.005975,Utah,0.003585,Vermont,0.019916,Virginia,0.031866,Washington,0.005776,West Virginia,0.01912,Wisconsin,0.005975,Nebraska,0.025493,Missouri,0.00239,Alaska,0.003386,Idaho,0.031667,Arizona,0.005377,Arkansas,0.118104,California,0.029875,Colorado,0.014141,Connecticut,0.002191,Delaware,0.001992,"Washington, District of Columbia",0.069309,Florida,0.014539,Georgia,0.003187,Hawaii,0.041824,Illinois,0.00239,Mississippi,0.025294,Indiana,0.015336,Iowa,0.012547,Kansas,0.017925,Kentucky,0.005577,Louisiana,0.004382,Maine,0.011751,Maryland,0.023501,Massachusetts,0.042024,Michigan,0.011352,Minnesota,0.001195,Wyoming
"In her words, ""I hate black people, especially girls.""",2019-08-19T21:18:57+0000,The Record ,0,99,1000,4999,0.001693,"Washington, District of Columbia",0.020745,Oregon,0.005927,Montana,0.008891,Nebraska,0.007621,Nevada,0.018205,New Jersey,0.004234,New Mexico,0.041914,New York,0.033023,North Carolina,0.00381,North Dakota,0.03895,Ohio,0.020322,Oklahoma,0.059695,Pennsylvania,0.012701,Mississippi,0.002964,Rhode Island,0.019475,South Carolina,0.020745,Tennessee,0.083827,Texas,0.005504,Utah,0.001693,Vermont,0.028366,Virginia,0.028366,Washington,0.012701,West Virginia,0.015665,Wisconsin,0.026249,Missouri,0.011854,Minnesota,0.003387,New Hampshire,0.027942,Georgia,0.002117,South Dakota,0.022439,Alabama,0.007621,Alaska,0.020745,Arizona,0.018205,Arkansas,0.062235,California,0.017782,Colorado,0.008044,Connecticut,0.002964,Delaware,0.052921,Florida,0.002964,Hawaii,0.028366,Michigan,0.008044,Idaho,0.039373,Illinois,0.024979,Indiana,0.015665,Iowa,0.011008,Kansas,0.017782,Kentucky,0.019052,Louisiana,0.007621,Maine,0.016935,Maryland,0.021169,Massachusetts,0.005504,Wyoming
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:52+0000,Fair Fight Action,0,99,0,999,0.021277,Colorado,0.148936,New York,0.021277,South Carolina,0.021277,Oklahoma,0.06383,Ohio,0.021277,Minnesota,0.021277,Maine,0.042553,Washington,0.06383,Pennsylvania,0.042553,Oregon,0.06383,North Carolina,0.021277,New Mexico,0.021277,Kansas,0.042553,New Jersey,0.021277,New Hampshire,0.042553,Massachusetts,0.021277,Maryland,0.021277,Louisiana,0.021277,Illinois,0.042553,"Washington, District of Columbia",0.170213,California,0.021277,Virginia,0.021277,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:40+0000,Fair Fight Action,0,99,1000,4999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:40+0000,Fair Fight Action,0,99,0,999,0.002865,Iowa,0.002865,West Virginia,0.007163,Oklahoma,0.034384,Oregon,0.038682,Pennsylvania,0.008596,South Carolina,0.005731,Tennessee,0.038682,Texas,0.035817,Virginia,0.047278,Washington,0.014327,Wisconsin,0.031519,North Carolina,0.004298,Alaska,0.002865,Arkansas,0.005731,Hawaii,0.011461,Kentucky,0.007163,Maine,0.002865,Montana,0.007163,Nevada,0.002865,Rhode Island,0.002865,Utah,0.022923,Ohio,0.104585,New York,0.002865,Mississippi,0.04298,Florida,0.002865,Nebraska,0.001433,South Dakota,0.001433,New Mexico,0.011461,Alabama,0.017192,Arizona,0.22063,California,0.018625,Colorado,0.015759,Connecticut,0.012894,"Washington, District of Columbia",0.005731,Idaho,0.020057,New Jersey,0.028653,Illinois,0.012894,Indiana,0.007163,Louisiana,0.030086,Maryland,0.040115,Massachusetts,0.022923,Michigan,0.015759,Minnesota,0.008596,Missouri,0.010029,New Hampshire,0.007163,Vermont,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:36+0000,Fair Fight Action,0,99,1000,4999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:36+0000,Fair Fight Action,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:26+0000,Fair Fight Action,0,99,1000,4999,0.000507,North Dakota,0.037018,Pennsylvania,0.007606,Nevada,0.010649,New Hampshire,0.01572,New Jersey,0.013692,New Mexico,0.067444,New York,0.022819,North Carolina,0.025862,Ohio,0.006085,Oklahoma,0.042089,Oregon,0.005071,Rhode Island,0.005578,Montana,0.008114,South Carolina,0.007099,Tennessee,0.048174,Texas,0.003043,Utah,0.006592,Vermont,0.03499,Virginia,0.074544,Washington,0.004564,West Virginia,0.022819,Wisconsin,0.000507,Wyoming,0.00355,Nebraska,0.013185,Missouri,0.004057,Alabama,0.00355,Idaho,0.008621,Alaska,0.025862,Arizona,0.005071,Arkansas,0.140974,California,0.018763,Colorado,0.01217,Connecticut,0.00355,Delaware,0.012677,"Washington, District of Columbia",0.037018,Florida,0.010142,Hawaii,0.039047,Illinois,0.002028,Mississippi,0.01217,Indiana,0.011156,Iowa,0.007606,Kansas,0.01217,Kentucky,0.004564,Louisiana,0.01572,Maine,0.029919,Maryland,0.045639,Massachusetts,0.026369,Michigan,0.022312,Minnesota,0.001521,South Dakota,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:23+0000,Fair Fight Action,0,99,0,999,0.02381,Connecticut,0.02381,New Jersey,0.071429,"Washington, District of Columbia",0.119048,Washington,0.02381,Tennessee,0.047619,Pennsylvania,0.02381,Oregon,0.071429,North Carolina,0.190476,New York,0.02381,Montana,0.02381,Massachusetts,0.02381,Michigan,0.02381,Maryland,0.02381,Kansas,0.02381,Indiana,0.071429,Illinois,0.02381,Colorado,0.142857,California,0.02381,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:16+0000,Fair Fight Action,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:16+0000,Fair Fight Action,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:16+0000,Fair Fight Action,0,99,0,999,0.003571,Idaho,0.007143,Missouri,0.007143,"Washington, District of Columbia",0.007143,Hawaii,0.025,Illinois,0.003571,Iowa,0.003571,Kansas,0.017857,Maryland,0.014286,Minnesota,0.042857,North Carolina,0.017857,Connecticut,0.014286,Ohio,0.042857,Oregon,0.003571,Rhode Island,0.025,Texas,0.003571,Utah,0.010714,Vermont,0.007143,West Virginia,0.017857,Wisconsin,0.007143,Delaware,0.010714,Arizona,0.003571,Louisiana,0.185714,California,0.007143,New Hampshire,0.003571,North Dakota,0.003571,Tennessee,0.003571,Alabama,0.007143,Alaska,0.003571,Arkansas,0.003571,Kentucky,0.05,Colorado,0.075,Washington,0.025,Florida,0.014286,Maine,0.042857,Massachusetts,0.035714,Michigan,0.042857,New Jersey,0.132143,New York,0.028571,Pennsylvania,0.032143,Virginia,0.007143,Wyoming,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:13+0000,Fair Fight Action,0,99,0,999,0.009063,Kentucky,0.009063,Maine,0.02719,Colorado,0.006042,Connecticut,0.006042,"Washington, District of Columbia",0.009063,Hawaii,0.009063,Idaho,0.036254,Illinois,0.012085,Indiana,0.003021,Louisiana,0.024169,Maryland,0.006042,Alabama,0.033233,Massachusetts,0.021148,Missouri,0.003021,New Hampshire,0.030211,North Carolina,0.021148,Ohio,0.006042,Oklahoma,0.033233,Oregon,0.012085,South Carolina,0.009063,Tennessee,0.006042,Alaska,0.024169,Wisconsin,0.003021,Rhode Island,0.030211,Michigan,0.006042,Vermont,0.003021,Mississippi,0.003021,West Virginia,0.003021,Montana,0.039275,Arizona,0.172205,California,0.048338,Florida,0.009063,Iowa,0.012085,Kansas,0.021148,Minnesota,0.030211,Washington,0.006042,Nebraska,0.012085,Nevada,0.009063,New Jersey,0.009063,New Mexico,0.102719,New York,0.02719,Pennsylvania,0.003021,South Dakota,0.045317,Texas,0.039275,Virginia,0.009063,Utah,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:13+0000,Fair Fight Action,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:12+0000,Fair Fight Action,0,99,0,999,0.001406,Delaware,0.008439,Kentucky,0.064698,Texas,0.007032,Utah,0.007032,Vermont,0.037975,Virginia,0.068917,Washington,0.005626,Alabama,0.014065,Arizona,0.004219,Arkansas,0.011252,Louisiana,0.007032,South Carolina,0.009845,Maine,0.021097,Maryland,0.004219,Montana,0.007032,Nebraska,0.004219,Nevada,0.004219,New Mexico,0.026723,Pennsylvania,0.004219,Rhode Island,0.002813,South Dakota,0.012658,Tennessee,0.018284,Oregon,0.011252,Iowa,0.005626,Hawaii,0.002813,Kansas,0.001406,Alaska,0.004219,Idaho,0.001406,Mississippi,0.185654,California,0.018284,Colorado,0.016878,Connecticut,0.019691,"Washington, District of Columbia",0.033755,Florida,0.050633,Illinois,0.012658,Ohio,0.007032,Indiana,0.054852,Massachusetts,0.02391,Michigan,0.012658,Minnesota,0.012658,Missouri,0.007032,New Hampshire,0.018284,New Jersey,0.094233,New York,0.032349,North Carolina,0.019691,Wisconsin,,,,,,,,,,
"In 2020, years of strategic GOP legislative and political efforts to suppress the vote will be exacerbated by foreign interference, Trump's racist rhetoric and a newly emboldened RNC, threatening our fundamental ability to freely elect our candidates, win the Senate, and defeat Trump.

But we are fighting back. We're launching Fair Fight 2020, a nationwide movement to staff, fund, and train Democratic voter protection programs in 20 battleground states across the country. 

Our ability to win and govern as Democrats—to expand access to healthcare, education and economic opportunity—depends on our ability to protect the people’s voice through the ballot box.

Every eligible voter deserves free and fair elections. Chip in today if you agree and join us as a founding donor of Fair Fight 2020.",2019-08-19T21:15:12+0000,Fair Fight Action,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
